date,text
12/9/2024,Hàng xóm giúp nhau lợp lại mái nhà tình làng nghĩa xóm thật tuyệt vời.
12/9/2024,Đã mua được thịt và rau bữa cơm ngon nhất từ hôm bão đến giờ.
12/9/2024,Nhà mình may mắn không thiệt hại gì nhiều chỉ vỡ mấy cái chậu cây.
12/9/2024,Bắt đầu giặt đống quần áo tồn đọng mấy ngày nay mệt nhưng vui.
12/9/2024,Các bác thợ điện làm việc vất vả quá cảm ơn các bác nhiều.
12/9/2024,Hoan hô có điện rồi cả xóm vỗ tay rào rào.
12/9/2024,Cuối cùng cũng được tắm một trận đã đời sướng tê người.
12/9/2024,Trời hửng nắng rồi mang chăn chiếu ra phơi thôi.
12/9/2024,Đường xá đã thông thoáng xe cộ đi lại bình thường.
12/9/2024,Bắt đầu công cuộc dọn bùn non mệt nhưng mà vui.
12/9/2024,Mạng internet đã ổn định lại cập nhật tin tức cho anh em.
12/9/2024,Đi chợ mua được mớ rau tươi mà mừng như bắt được vàng.
12/9/2024,Các bác thợ điện làm việc xuyên đêm vất vả quá.
12/9/2024,Trường học thông báo ngày kia đi học lại rồi.
13/09/2024,Đi làm lại thôi mọi người ơi cuộc sống phải tiếp diễn chứ.
13/09/2024,Giao thông đã ổn định trở lại không còn cảnh ùn tắc nữa.
13/09/2024,Các nhóm thiện nguyện đang phát nhu yếu phẩm ở nhà văn hóa thôn.
13/09/2024,Trường con em đã dọn dẹp xong sạch đẹp đón học sinh trở lại.
13/09/2024,Sửa xong cái cửa cổng rồi nhìn lại thấy chắc chắn hơn xưa.
13/09/2024,Thấy mấy cây xanh bị đổ được dựng lại và nảy mầm sức sống mãnh liệt.
13/09/2024,Không khí trong lành quá sau cơn mưa trời lại sáng.
13/09/2024,Mọi hoạt động đã trở lại bình thường như chưa hề có bão.
13/09/2024,Hàng quán mở cửa tấp nập phố xá đông vui trở lại.
13/09/2024,Vừa đi thay dầu xe máy xong xe ngập nước hại máy quá.
13/09/2024,Chung tay quyên góp ủng hộ đồng bào bị thiệt hại nặng.
13/09/2024,Nhìn cây cối trơ trọi lá nhưng vẫn đứng vững kiên cường.
13/09/2024,Sửa xong mái nhà rồi tối nay ngủ ngon không lo dột.
13/09/2024,Cảm ơn các mạnh thường quân đã hỗ trợ bà con lúc khó khăn.
14/09/2024,Hôm nay đi chợ thấy giá cả đã hạ nhiệt không còn đắt đỏ như trước.
14/09/2024,Công ty tổ chức quyên góp ủng hộ đồng bào vùng lũ mình ủng hộ 1 ngày lương.
14/09/2024,Mọi người rủ nhau tổng vệ sinh ngõ xóm sạch bong kin kít.
14/09/2024,Đã liên lạc được hết với người thân ở quê ai cũng bình an mừng rơi nước mắt.
14/09/2024,Cuối tuần này được nghỉ ngơi sau chuỗi ngày chống bão căng thẳng.
14/09/2024,Nhìn đường phố tấp nập trở lại thấy yêu cuộc sống này quá.
14/09/2024,Cuối tuần tranh thủ tổng vệ sinh khu phố sạch đẹp.
14/09/2024,Đưa con đi chơi bù mấy ngày ru rú trong nhà.
14/09/2024,Giá cả thực phẩm đã bình ổn trở lại không còn lo chặt chém.
14/09/2024,Ngồi cà phê ngắm phố phường thấy yêu cuộc sống này ghê.
14/09/2024,Những cây đổ đã được dựng lại và đang được chăm sóc.
15/09/2024,Đưa con đi chơi công viên các khu vui chơi đã mở cửa lại rồi.
15/09/2024,Tranh thủ phơi chăn màn nắng to thế này tha hồ thơm tho.
15/09/2024,Ngồi cà phê vỉa hè chém gió với bạn bè cảm giác thật bình yên.
15/09/2024,Đọc báo thấy nhiều tấm gương người tốt việc tốt trong bão mà ngưỡng mộ.
15/09/2024,Rút kinh nghiệm lần sau phải chuẩn bị kỹ hơn chủ quan là chết dở.
15/09/2024,Đọc tin thấy nhiều tấm gương dũng cảm cứu người mà nể phục.
15/09/2024,Rút kinh nghiệm sâu sắc về phòng chống bão cho lần sau.
15/09/2024,Không khí trong lành mát mẻ sau bão thích thật.
16/09/2024,Sáng nay đi làm đường đông nghịt kẹt xe cũng thấy vui vui.
16/09/2024,Hệ thống đèn đường đã sáng trưng trở lại không còn tối om như trước.
16/09/2024,Mấy bác nông dân đang cày lại ruộng để trồng vụ mới cố lên các bác.
16/09/2024,Thấy cuộc sống đã hoàn toàn bình thường trở lại như chưa từng có bão.
16/09/2024,Đi làm lại thấy đồng nghiệp ai cũng kể chuyện bão sôi nổi.
16/09/2024,Hệ thống đèn đường đã sáng trưng trở lại an toàn rồi.
16/09/2024,Cuộc sống mưu sinh lại tiếp diễn cố gắng cày cuốc thôi.
17/09/2024,Nhận được tin nhắn hỏi thăm của bạn bè phương xa thấy ấm lòng.
17/09/2024,Vừa đi bảo dưỡng xe máy xong xe ngâm nước hại máy quá.
17/09/2024,Mấy cây cổ thụ gãy cành giờ đang ra lá non nhìn thích mắt ghê.
17/09/2024,Tối nay tổ chức tiệc nhỏ mừng gia đình bình an qua đại nạn.
17/09/2024,Những mầm non mới đã nhú trên cành cây gãy sức sống mãnh liệt.
17/09/2024,Vẫn còn nhiều nơi khó khăn cần sự giúp đỡ của cộng đồng.
18/09/2024,Các tuyến xe khách liên tỉnh đã chạy rầm rộ gửi đồ về quê tiện lợi rồi.
18/09/2024,Trường đại học tổ chức đi tình nguyện dọn dẹp vệ sinh môi trường ý nghĩa quá.
18/09/2024,Hy vọng năm nay không còn cơn bão nào nữa dân mình khổ lắm rồi.
18/09/2024,Các chuyến xe khách đã chạy đều đặn gửi đồ về quê dễ dàng.
19/09/2024,Mọi thứ đã vào guồng quay công việc bận rộn nhưng thấy vui.
19/09/2024,Chuẩn bị đón Trung Thu thôi đèn lồng bày bán khắp phố rồi.
19/09/2024,Nhìn lại những hình ảnh trong bão mới thấy mình thật kiên cường.
19/09/2024,Chuẩn bị đón Trung Thu rộn ràng đèn lồng khắp phố.
19/09/2024,Nhìn lại những ngày qua thấy mình trưởng thành hơn nhiều.
20/09/2024,Tổng kết thiệt hại sau bão: mất cái mũ bảo hiểm và vỡ cái gương xe hihi.
20/09/2024,Cảm ơn tất cả mọi người đã cùng nhau đoàn kết vượt qua khó khăn.
20/09/2024,Việt Nam ơi cố lên sau bão giông là bầu trời tươi sáng.
20/09/2024,Khép lại hồ sơ bão Yagi tập trung làm việc kiếm tiền thôi nào.
20/09/2024,Tạm biệt bão Yagi hy vọng không bao giờ gặp lại.
20/09/2024,Việt Nam đoàn kết vượt qua mọi thiên tai bão lũ.
20/09/2024,Trời đẹp quá xách balo lên và đi du lịch thôi.
20/09/2024,Chốt sổ nhật ký bão Yagi mọi thứ đã ổn định hoàn toàn.
"07/10/2024","Các ông cứ bảo đặt bé bự vs thằng bé, tới nó đặt cho quả nandoi45 thì nó lại vui cả nhà"
"07/10/2024","Nhớ k nhầm thì tên bão là đc đặt sẵn 1 danh sách bởi những nước dễ bị ảnh hưởng bởi bão hay j đấy, xong đến cái nào thì họ lấy tên lần lượt trong danh sách có sẵn ra thôi, chứ chả liên quan j tới việc nước nào đặt cho bão nào cả"
"07/10/2024","Littleboy vs Fatman hay hơn mà ko đặt :))))"
"07/10/2024","Đặt Hưng Yên cho nó mạnh"
"07/10/2024","Cười hả hê đi, toàn đi xkld bên nc nó. Còn nữa, hết visa thì trốn chui đã vậy còn có tính ăn cắp vặt nữa chớ. Mới đây còn cướp của giết người. Toàn là con cháu của khỉ trường sơn =)))"
"07/10/2024","Nghe nói là siêu bão, siêu mạnh"
"07/10/2024","Tại sao lại có mấy người lại đùa theo kiểu ""little boy"" và ""fat man"" thế nhỉ.Nó là tội ác chiến tranh mà cứ đùa như kiểu người Nhật PHẢI chịu lượng thương vong đấy vậy. Đúng là Nhật là bên phát xít nhưng đó là QUÁ KHỨ. Thử nghĩ lại nhá nếu nước khác nói về vụ nạn đói 1945 là phải chịu hay việc nhổ lúa trồng đay là do yếu kém nên bị, đó là một cái nhìn phiến diện vì dân ta có làm gì lên tội đâu, các bạn có tức không, khó chịu không. Lớn rồi! Văn minh lên ranh giới giữa đùa cợt và vô duyên nó mỏng manh lắm. Chốt lại đùa thì lựa lựa chứ tôi cũng ko quản được, với cả đừng có lấy cái câu"" khi không phải bi kịch của ta, thì nó là hài kịch"" (nói thật ngáo lắm).(Bình luận chỉ muốn mọi người bình đẳng giữa hai nước, vì đó chỉ là quá khứ chúng ta nên ghi nhớ và khắc ghi chứ không phải để mỉa mai hay bôi nhọ)"
"07/10/2024","nhiều người joke mấy cái liên quan đến lịch sử của hoà tưởng đấy là hay nhỉ?"
"07/10/2024","Và không phải cái gì cũng báo lên phương đc nhé"
"07/10/2024","Fatman hay littleboy nghe cũng hay mà"
"07/10/2024","Từ biển Đông"
"07/10/2024","Xem windy thì nó quành ra biển á chứ ko vào nhật"
"07/10/2024","Nguyễn Thủy Anh đúng nó quành ra biển nhưng vùng mây chính của bão vẫn bao trùm 1 phần đảo chính của Nhật"
"07/10/2024","Cty Đồ Chơi Mầm Non Nhật Minh • chuyên sản xuất, lắp đặt khu vui chơi liên hoàn cho trẻ mầm non, giá cực tốt."
"07/10/2024","Ê nha ê nha"
"07/10/2024","Có qua có lại"
"07/10/2024","Ê nha"
"07/10/2024","Nó lại quay ra biển rồi ad ạ"
"07/10/2024","Quy tắc đặt tên bão ở Tây Bắc Thái Bình Dương (khu vực có Việt Nam)"
"07/10/2024","Thôi, thống nhất 1 tên thôi má"
"07/10/2024","Nhật đặt tên thì bay vào VN còn VN đặt tên lại bay vào Nhật .ý trời"
"07/10/2024","đến từ nhà tôi, vợ Hà chồng Long"
"07/10/2024","Đừng có cười như kiểu hả hê lắm"
"07/10/2024","tất cả những tên bão do VIệt Nam đặt đều dỗi quay xe ko đi qua Việt Nam"
"07/10/2024","Xin lỗi vì mình đã cười"
"07/10/2024","Ăn miếng trả miếng kk"
"07/10/2024","Siêu bão thì siêu bão nhưng vẫn yêu nước nha"
"07/10/2024","Ko vào nhật đâu nhé."
"07/10/2024","Tôi nói bạn nghe ""Bánh ít đi, bánh quy lại"""
"07/10/2024","Mong gió mùa đông bắc về lạnh là tan bão ngay"
"07/10/2024","Đây gọi là có qua có lại à"
"07/10/2024","Liên quan gì mình đâu"
"07/10/2024","Vớ vẩn"
"07/10/2024","xin lỗi nhựt bổn nke"
"07/10/2024","Chưa có thông tin bão số 12 đưa thông tin cho chính xác vào ad không nên đưa thông tin sai sự thật gây hoang mang dư luận."
"07/10/2024","Có đi có lại à :))"
"07/10/2024","Moá,cái khúc đặt tên cấn cấn nha"
"07/10/2024","chọi nhau à"
"07/10/2024","Đù.. chả có nhẽ..."
"07/10/2024","Nam Mô A Di Đà Phật"
"07/10/2024","may mà yagi chứ nó đặt yugi bão nó buff sức mạnh tình bạn nữa thì chết toi"
"07/10/2024","Liên quan mẹ gì.tên bão có quy tắc đặt rồi.bài vớ vẩn vl"
"07/10/2024","Này gọi là ông ăn chả bà ăn nem hả mn"
"07/10/2024","Nó quay đầu rồi"
"07/10/2024","Mình ở đảo dính"
"07/10/2024","page gây war à, chả liên quan gì"
"07/10/2024","Từ khi có Yagi nó đã làm cho tôi bị ám ảnh lo âu mỗi khi có mưa."
"07/10/2024","Tìm thấy chưa m"
"07/10/2024","Bảo hạ long ??"
"07/10/2024","Là sao mn, nước nào thích đặt tên cho bão cx đc hả"
"07/10/2024","Riêng miền Bắc đón hết bão nhé! Vào là tan ngay! Đừng vào miền Trung ruột thịt là đc"
"07/10/2024","Bão là do tự nhiên, tên đéo nào chả như nhau, thấy người ta bị bão thì cười hả hê đúng óc lợn."
"07/10/2024",":))))"
"07/10/2024","Lũ mất não đi hả hê thiên tai như vậy à?"
"07/10/2024","1-1"
"07/10/2024","T chẳng thấy có gì đáng hả hê chuyện bão lũ này cả. Đã thế đi làm culi cho nó mà cứ mong nó có chuyện."
"07/10/2024","Ý là Hạ Long trả đũa Yagi à, đúng là bọn khốn kiếp câu view bẩn tưởi"
"07/10/2024","sao ko đặt tên Oa Khấu?"
"07/10/2024","Bucu"
"07/10/2024","Việt Nam có cả Bão HALINH..:)))"
"07/10/2024","Sao ko đặt china cho dân nhựt họ tự tin đấm bão luôn"
"07/10/2024","Hết bão bùa lòi đến mắt mò giờ đến halong"
"07/10/2024","Cái này gọi là có qua có lại đấy à"
"07/10/2024","xem windy thấy n đi ven ven Nhật xong cua ra ngoài biển r lên Nga cơ nhìn to thật"
"07/10/2024","Thế là hoà còn gì"
"07/10/2024","Bão thường đặt theo tên phụ nữ. Lần này là Hạ Long nên chắc sẽ tan thôi. :>"
"07/10/2024","Con mẹ thằng nào đặt tên bão mà tâm địa ác z, Hạ Long nói riêng và Quảng Ninh 14 nói chung trước nay luôn sống hào phóng, rộng lượng với nhân dân gặp thiên tai trên cả nước. Kbjo tranh nguồn tiền cứu trợ với các tỉnh khác mà nó đặt tên bão nv thì thử hỏi còn khách nào dám đặt chân đến danh lam thắng cảnh Hạ Long du lịch nữa chứ? Mẹ nó, bất nhân vkl"
"07/10/2024","Thế thì bão sẽ tan sớm thôi. Như không có gì xảy ra =))"
"07/10/2024","Đặt tên là bão Takuda"
"07/10/2024","Bạn gửi tôi cgi t trả bạn lại cái y hệt à"
"07/10/2024","HaLong do VN đặt"
"07/10/2024","Đặt Halong xong họ không dám đi du lịch Halong nữa thì"
"07/10/2024","Con Yagi năm đó nó quét đúng vào hạ long là vùng tâm bão đi qua đấy =)))))"
"07/10/2024","Lần sau đặt tên bão là BoomNguyentu"
"07/10/2024","Lời cảm ơn từ Tokyo vì nhờ VN đặt tên này mà bão theo đúng quỹ đạo làm tí gió mát cho Tô rồi lại cuốn xéo lại ra biển rồi!"
"07/10/2024","Cái này là do thiên nhiên, liên quan j đến việc 2 nước. K nên hả hê, họ đâu muốn Vn bị bão tàn phá đâu. Đặt tên là trên cơ sở khoa học giữa các hội khí tượng với nhau thôi."
"07/10/2024","Rồi halong cũng sẽ bị loại khỏi danh sách"
"07/10/2024","Sau đặt cho Nhật thì cứ FatBoy với LittleMan mà nhắm"
"07/10/2024","Ăn miếng trả miếng à"
"07/10/2024","Tào lao"
"07/10/2024","Ad có thể cho mình biết thời gian dự kiến của con bão đổ bộ vào Nhật Bản được không"
"07/10/2024","Kèo này cân quá"
"07/10/2024","Hà nội Quá chủ quan"
"07/10/2024","Bão dự báo từ mấy hôm vậy lãnh đạo thành phố sao ko cắt tỉa bớt cành lá đi vậy ,lúc chặt cây đi bán thì sao nhanh thế"
"07/10/2024","ko có thiệt hại về người là tốt rồi ạ . Thủ Đô xanh rồi sẽ lại xanh trở lại. mọi người cố lên ."
"08/09/2024","Sau cơn bão này có lẽ nhiều người thương dân miền Trung hơn , người miền Trung làm mùa nắng ăn mùa mưa, tới mùa là bảo lụt mấy tháng liền,"
"08/09/2024","Các bạn thành phố hay chửi là dân nhà quê mà .nhà quê nhiều đồ ăn cứu sống người lắm cơ"
"08/09/2024","Hà nội Quá chủ quan"
